ntacode,medianinco,poororstru,poptot,popover18,male,highschool,comm_less30,comm_plus30
BX08,33060.01174805379,19929,35325,25508,17175,6195,3608,9733
BX09,40571.64,24626,53800,40449,23977,10129,5400,14915
BX10,55744.93691418952,6744,26139,21814,12231,5805,4782,7606
BX13,45673.940050559766,12382,44304,36364,19239,9170,4807,13356
BX14,28701.529667422525,39590,63504,45997,30751,9297,5507,16481
BX17,20579.372477370973,28937,41871,28775,18907,6483,3813,8893
BX22,,4170,26839,21946,12747,2817,3855,7584
BX26,24698.290192904362,25180,37065,25698,17461,5945,3491,8819
BX27,21464.578151077567,19004,27562,18912,13202,3980,2427,5464
BX28,41074.30908176606,24341,49715,37784,22577,8905,5322,14979
BX29,70438.82102653444,7434,29848,24299,14091,3692,3757,9191
